dataset,sensitive_attr,spd_range,eod_tpr_range,disparate_impact,accuracy,severity
sbo,RACE1,0.0049633737249264055,0.43820224719101125,1.0,0.9941326213833354,high
sbo,SEX1,0.003485024814081344,0.08076923076923076,0.32927263304465104,0.9941326213833354,high
sbo,SEX,,,,0.9941326213833354,ok
sbo,RAC1P,,,,0.9941326213833354,ok
sbo,HISP,,,,0.9941326213833354,ok
sbo_withheld,RACE1,0.0037582462490513163,0.4330011074197121,1.0,0.9955667067838906,high
sbo_withheld,SEX1,0.0023308370892674885,0.13762773250549737,0.4102490426370709,0.9955667067838906,high
sbo_withheld,SEX,,,,0.9955667067838906,ok
sbo_withheld,RAC1P,,,,0.9955667067838906,ok
sbo_withheld,HISP,,,,0.9955667067838906,ok
acs_national_2019,RACE1,,,,0.9237272560191141,ok
acs_national_2019,SEX1,,,,0.9237272560191141,ok
acs_national_2019,SEX,0.10048010890407158,0.09011519881085106,0.6969371571117102,0.9237272560191141,high
acs_national_2019,RAC1P,0.3673469387755102,0.4602649006622517,1.0,0.9237272560191141,high
acs_national_2019,HISP,0.20189070189070188,0.3214285714285714,0.31861888111888115,0.9237272560191141,high
acs_ma_2019,RACE1,,,,0.8735255570117956,ok
acs_ma_2019,SEX1,,,,0.8735255570117956,ok
acs_ma_2019,SEX,0.16338418862690707,0.09875567845151101,0.6772602739726028,0.8735255570117956,high
acs_ma_2019,RAC1P,0.42857142857142855,0.4444444444444444,1.0,0.8735255570117956,high
acs_ma_2019,HISP,0.55,0.25,0.26666666666666666,0.8735255570117956,high
acs_tx_2019,RACE1,,,,0.8910463861920173,ok
acs_tx_2019,SEX1,,,,0.8910463861920173,ok
acs_tx_2019,SEX,0.18473087868154126,0.16344476744186054,0.5058054271169025,0.8910463861920173,high
acs_tx_2019,RAC1P,0.34,0.3356807511737089,1.0,0.8910463861920173,high
acs_tx_2019,HISP,0.3107932379713914,0.3421052631578947,1.0,0.8910463861920173,high
