seed,dataset,split,sensitive_attr,group,n,positive_count,negative_count,positive_rate,sparse_flag
42,acs_ma_2019,train,SEX,1,2852,1315,1537,0.46107994389901824,False
42,acs_ma_2019,train,SEX,2,3252,988,2264,0.3038130381303813,False
42,acs_ma_2019,train,RAC1P,1,5325,2081,3244,0.3907981220657277,False
42,acs_ma_2019,train,RAC1P,2,143,29,114,0.20279720279720279,False
42,acs_ma_2019,train,RAC1P,3,3,0,3,0.0,True
42,acs_ma_2019,train,RAC1P,5,1,0,1,0.0,True
42,acs_ma_2019,train,RAC1P,6,455,160,295,0.3516483516483517,False
42,acs_ma_2019,train,RAC1P,7,1,0,1,0.0,True
42,acs_ma_2019,train,RAC1P,8,57,12,45,0.21052631578947367,False
42,acs_ma_2019,train,RAC1P,9,119,21,98,0.17647058823529413,False
42,acs_ma_2019,train,HISP,0,5840,2246,3594,0.3845890410958904,False
42,acs_ma_2019,train,HISP,1,34,14,20,0.4117647058823529,False
42,acs_ma_2019,train,HISP,2,64,9,55,0.140625,False
42,acs_ma_2019,train,HISP,3,9,5,4,0.5555555555555556,True
42,acs_ma_2019,train,HISP,4,157,29,128,0.18471337579617833,False
42,acs_ma_2019,test,SEX,1,721,332,389,0.4604715672676838,False
42,acs_ma_2019,test,SEX,2,805,244,561,0.3031055900621118,False
42,acs_ma_2019,test,RAC1P,1,1330,506,824,0.3804511278195489,False
42,acs_ma_2019,test,RAC1P,2,37,9,28,0.24324324324324326,False
42,acs_ma_2019,test,RAC1P,6,114,47,67,0.41228070175438597,False
42,acs_ma_2019,test,RAC1P,7,1,0,1,0.0,True
42,acs_ma_2019,test,RAC1P,8,11,4,7,0.36363636363636365,True
42,acs_ma_2019,test,RAC1P,9,33,10,23,0.30303030303030304,False
42,acs_ma_2019,test,HISP,0,1468,560,908,0.3814713896457766,False
42,acs_ma_2019,test,HISP,1,9,2,7,0.2222222222222222,True
42,acs_ma_2019,test,HISP,2,15,3,12,0.2,True
42,acs_ma_2019,test,HISP,3,4,3,1,0.75,True
42,acs_ma_2019,test,HISP,4,30,8,22,0.26666666666666666,False
43,acs_ma_2019,train,SEX,1,2833,1307,1526,0.4613483939286975,False
43,acs_ma_2019,train,SEX,2,3271,996,2275,0.3044940385203302,False
43,acs_ma_2019,train,RAC1P,1,5320,2067,3253,0.3885338345864662,False
43,acs_ma_2019,train,RAC1P,2,144,33,111,0.22916666666666666,False
43,acs_ma_2019,train,RAC1P,3,2,0,2,0.0,True
43,acs_ma_2019,train,RAC1P,5,1,0,1,0.0,True
43,acs_ma_2019,train,RAC1P,6,464,166,298,0.3577586206896552,False
43,acs_ma_2019,train,RAC1P,7,1,0,1,0.0,True
43,acs_ma_2019,train,RAC1P,8,54,11,43,0.2037037037037037,False
43,acs_ma_2019,train,RAC1P,9,118,26,92,0.22033898305084745,False
43,acs_ma_2019,train,HISP,0,5854,2246,3608,0.3836692859583191,False
43,acs_ma_2019,train,HISP,1,35,14,21,0.4,False
43,acs_ma_2019,train,HISP,2,64,11,53,0.171875,False
43,acs_ma_2019,train,HISP,3,9,5,4,0.5555555555555556,True
43,acs_ma_2019,train,HISP,4,142,27,115,0.19014084507042253,False
43,acs_ma_2019,test,SEX,1,740,340,400,0.4594594594594595,False
43,acs_ma_2019,test,SEX,2,786,236,550,0.30025445292620867,False
43,acs_ma_2019,test,RAC1P,1,1335,520,815,0.3895131086142322,False
43,acs_ma_2019,test,RAC1P,2,36,5,31,0.1388888888888889,False
43,acs_ma_2019,test,RAC1P,3,1,0,1,0.0,True
43,acs_ma_2019,test,RAC1P,6,105,41,64,0.3904761904761905,False
43,acs_ma_2019,test,RAC1P,7,1,0,1,0.0,True
43,acs_ma_2019,test,RAC1P,8,14,5,9,0.35714285714285715,True
43,acs_ma_2019,test,RAC1P,9,34,5,29,0.14705882352941177,False
43,acs_ma_2019,test,HISP,0,1454,560,894,0.38514442916093533,False
43,acs_ma_2019,test,HISP,1,8,2,6,0.25,True
43,acs_ma_2019,test,HISP,2,15,1,14,0.06666666666666667,True
43,acs_ma_2019,test,HISP,3,4,3,1,0.75,True
43,acs_ma_2019,test,HISP,4,45,10,35,0.2222222222222222,False
